weapon_id,weapon_name,weapon_type,weapon_skill,weapon_bal_modifier,weapon_gdp_modifier,weapon_weight,weapon_price,weapon_length,weapon_min_strength,weapon_damage_type,weapon_tier,weapon_hit_points,weapon_description
MELEE-010,Bastão,Armas Exóticas,BASTÃO,2,0,3,20,2,6,"Contusão, Perfuração",Comum,10,"É uma vara de madeira, grossa e rígida. Pode ser utilizado em travessias de rios, buracos, ou para manter inimigos afastados. Bem utilizado, pode realizar golpes eficientes."
MELEE-011,Bastão,Armas Exóticas,BASTÃO,2,1,2.9,40,2,6,"Contusão, Perfuração",Boa,20,"É uma vara de madeira, grossa e rígida. Pode ser utilizado em travessias de rios, buracos, ou para manter inimigos afastados. Bem utilizado, pode realizar golpes eficientes."
MELEE-012,Bastão,Armas Exóticas,BASTÃO,3,1,2.8,80,2,6,"Contusão, Perfuração",Superior,30,"É uma vara de madeira, grossa e rígida. Pode ser utilizado em travessias de rios, buracos, ou para manter inimigos afastados. Bem utilizado, pode realizar golpes eficientes."
MELEE-013,Bastão,Armas Exóticas,BASTÃO,3,2,2.7,160,2,6,"Contusão, Perfuração",Excelente,40,"É uma vara de madeira, grossa e rígida. Pode ser utilizado em travessias de rios, buracos, ou para manter inimigos afastados. Bem utilizado, pode realizar golpes eficientes."
MELEE-014,Bastão,Armas Exóticas,BASTÃO,4,2,2.6,320,2,6,"Contusão, Perfuração",Obra-Prima,50,"É uma vara de madeira, grossa e rígida. Pode ser utilizado em travessias de rios, buracos, ou para manter inimigos afastados. Bem utilizado, pode realizar golpes eficientes."
MELEE-015,Soco Inglês,Armas Exóticas,BRIGA,1,0,0.2,10,0.15,6,Contusão,Comum,10,"São quatro anéis metálicos soldados entre si que o lutador usa em sua mão mais forte ou em ambas. Pode ter uma ponta em cada anel, para aumentar o dano. Trate como um adicional ao dano de luta (briga)."
MELEE-016,Soco Inglês,Armas Exóticas,BRIGA,2,0,0.2,20,0.15,6,Contusão,Boa,20,"São quatro anéis metálicos soldados entre si que o lutador usa em sua mão mais forte ou em ambas. Pode ter uma ponta em cada anel, para aumentar o dano. Trate como um adicional ao dano de luta (briga)."
MELEE-017,Soco Inglês,Armas Exóticas,BRIGA,2,0,0.2,40,0.15,6,Contusão,Superior,30,"São quatro anéis metálicos soldados entre si que o lutador usa em sua mão mais forte ou em ambas. Pode ter uma ponta em cada anel, para aumentar o dano. Trate como um adicional ao dano de luta (briga)."
MELEE-018,Soco Inglês,Armas Exóticas,BRIGA,3,0,0.2,80,0.15,6,Contusão,Excelente,40,"São quatro anéis metálicos soldados entre si que o lutador usa em sua mão mais forte ou em ambas. Pode ter uma ponta em cada anel, para aumentar o dano. Trate como um adicional ao dano de luta (briga)."
MELEE-019,Soco Inglês,Armas Exóticas,BRIGA,4,0,0.2,160,0.15,6,Contusão,Obra-Prima,50,"São quatro anéis metálicos soldados entre si que o lutador usa em sua mão mais forte ou em ambas. Pode ter uma ponta em cada anel, para aumentar o dano. Trate como um adicional ao dano de luta (briga)."
MELEE-020,Luva de Combate,Armas Exóticas,BRIGA,2,0,1,200,0.25,6,Contusão,Comum,10,"É uma luva metálica, uasada em ambas as maõs, tanto para endurecer o golpe como para proteger os dedos do lutador. tem efeito análogo ao soco inglês, em termos de sistema de jogo."
MELEE-021,Luva de Combate,Armas Exóticas,BRIGA,3,0,0.9,400,0.25,6,Contusão,Boa,20,"É uma luva metálica, uasada em ambas as maõs, tanto para endurecer o golpe como para proteger os dedos do lutador. tem efeito análogo ao soco inglês, em termos de sistema de jogo."
MELEE-022,Luva de Combate,Armas Exóticas,BRIGA,3,0,0.8,800,0.25,6,Contusão,Superior,30,"É uma luva metálica, uasada em ambas as maõs, tanto para endurecer o golpe como para proteger os dedos do lutador. tem efeito análogo ao soco inglês, em termos de sistema de jogo."
MELEE-023,Luva de Combate,Armas Exóticas,BRIGA,4,0,0.7,1600,0.25,6,Contusão,Excelente,40,"É uma luva metálica, uasada em ambas as maõs, tanto para endurecer o golpe como para proteger os dedos do lutador. tem efeito análogo ao soco inglês, em termos de sistema de jogo."
MELEE-024,Luva de Combate,Armas Exóticas,BRIGA,5,0,0.6,3200,0.25,6,Contusão,Obra-Prima,50,"É uma luva metálica, uasada em ambas as maõs, tanto para endurecer o golpe como para proteger os dedos do lutador. tem efeito análogo ao soco inglês, em termos de sistema de jogo."
MELEE-025,Katar,Armas Exóticas,ARMAS EXÓTICAS | KATAR,0,1,0.15,120,0.6,6,"Corte, Perfuração",Comum,10,Arma utilizada para caçar tirgres no Nepal. Ela é presa no braço do atacante que deve desferir golpes fortes e precisos contra sua presa.
MELEE-026,Katar,Armas Exóticas,ARMAS EXÓTICAS | KATAR,1,1,0.15,240,0.6,6,"Corte, Perfuração",Boa,20,Arma utilizada para caçar tirgres no Nepal. Ela é presa no braço do atacante que deve desferir golpes fortes e precisos contra sua presa.
MELEE-027,Katar,Armas Exóticas,ARMAS EXÓTICAS | KATAR,1,2,0.15,480,0.6,6,"Corte, Perfuração",Superior,30,Arma utilizada para caçar tirgres no Nepal. Ela é presa no braço do atacante que deve desferir golpes fortes e precisos contra sua presa.
MELEE-028,Katar,Armas Exóticas,ARMAS EXÓTICAS | KATAR,2,2,0.15,960,0.6,6,"Corte, Perfuração",Excelente,40,Arma utilizada para caçar tirgres no Nepal. Ela é presa no braço do atacante que deve desferir golpes fortes e precisos contra sua presa.
MELEE-029,Katar,Armas Exóticas,ARMAS EXÓTICAS | KATAR,2,3,0.15,1920,0.6,6,"Corte, Perfuração",Obra-Prima,50,Arma utilizada para caçar tirgres no Nepal. Ela é presa no braço do atacante que deve desferir golpes fortes e precisos contra sua presa.
MELEE-030,Leque,Armas Exóticas,ARMAS EXÓTICAS | LEQUE,1,0,0.2,150,0.4,6,Corte,Comum,10,"Arma geralmente usada por mulheres, o leque possui uma lâmina escondida em suas hastes. Aparenta ser um utensílio comum, até que seja muito tarde. Pode ser usado com a lâmina envenenada."
MELEE-031,Leque,Armas Exóticas,ARMAS EXÓTICAS | LEQUE,2,0,0.2,300,0.4,6,Corte,Boa,20,"Arma geralmente usada por mulheres, o leque possui uma lâmina escondida em suas hastes. Aparenta ser um utensílio comum, até que seja muito tarde. Pode ser usado com a lâmina envenenada."
MELEE-032,Leque,Armas Exóticas,ARMAS EXÓTICAS | LEQUE,2,0,0.2,600,0.4,6,Corte,Superior,30,"Arma geralmente usada por mulheres, o leque possui uma lâmina escondida em suas hastes. Aparenta ser um utensílio comum, até que seja muito tarde. Pode ser usado com a lâmina envenenada."
MELEE-033,Leque,Armas Exóticas,ARMAS EXÓTICAS | LEQUE,3,0,0.2,1200,0.4,6,Corte,Excelente,40,"Arma geralmente usada por mulheres, o leque possui uma lâmina escondida em suas hastes. Aparenta ser um utensílio comum, até que seja muito tarde. Pode ser usado com a lâmina envenenada."
MELEE-034,Leque,Armas Exóticas,ARMAS EXÓTICAS | LEQUE,4,0,0.2,2400,0.4,6,Corte,Obra-Prima,50,"Arma geralmente usada por mulheres, o leque possui uma lâmina escondida em suas hastes. Aparenta ser um utensílio comum, até que seja muito tarde. Pode ser usado com a lâmina envenenada."
MELEE-035,Tonfa,Armas Exóticas,ARMAS EXÓTICAS | TONFA,2,0,1,100,0.5,6,Contusão,Comum,10,"A tonfa é conhecida no ocidente como cassetete. É uma arma de apoio ao combate com as mãos, permitindo uma proteção aos braços, rosto e torso enquanto o contra-ataque é feito."
MELEE-036,Tonfa,Armas Exóticas,ARMAS EXÓTICAS | TONFA,3,0,0.9,200,0.5,6,Contusão,Boa,20,"A tonfa é conhecida no ocidente como cassetete. É uma arma de apoio ao combate com as mãos, permitindo uma proteção aos braços, rosto e torso enquanto o contra-ataque é feito."
MELEE-037,Tonfa,Armas Exóticas,ARMAS EXÓTICAS | TONFA,3,0,0.8,400,0.5,6,Contusão,Superior,30,"A tonfa é conhecida no ocidente como cassetete. É uma arma de apoio ao combate com as mãos, permitindo uma proteção aos braços, rosto e torso enquanto o contra-ataque é feito."
MELEE-038,Tonfa,Armas Exóticas,ARMAS EXÓTICAS | TONFA,4,0,0.7,800,0.5,6,Contusão,Excelente,40,"A tonfa é conhecida no ocidente como cassetete. É uma arma de apoio ao combate com as mãos, permitindo uma proteção aos braços, rosto e torso enquanto o contra-ataque é feito."
MELEE-039,Tonfa,Armas Exóticas,ARMAS EXÓTICAS | TONFA,5,0,0.6,1600,0.5,6,Contusão,Obra-Prima,50,"A tonfa é conhecida no ocidente como cassetete. É uma arma de apoio ao combate com as mãos, permitindo uma proteção aos braços, rosto e torso enquanto o contra-ataque é feito."
MELEE-040,Nunchaku,Armas Exóticas,ARMAS EXÓTICAS | NUNCHAKU,2,0,1,250,0.7,6,Contusão,Comum,10,"Originalmente um utensílio agrícola usado na colheita de arroz, é uma arma muito utilizada por ninjas. São dois cabos de madeira, unidos por uma curta corrente. Pode ser usado para ataque, defesa ou desarme."
MELEE-041,Nunchaku,Armas Exóticas,ARMAS EXÓTICAS | NUNCHAKU,3,0,0.9,500,0.7,6,Contusão,Boa,20,"Originalmente um utensílio agrícola usado na colheita de arroz, é uma arma muito utilizada por ninjas. São dois cabos de madeira, unidos por uma curta corrente. Pode ser usado para ataque, defesa ou desarme."
MELEE-042,Nunchaku,Armas Exóticas,ARMAS EXÓTICAS | NUNCHAKU,3,0,0.8,1000,0.7,6,Contusão,Superior,30,"Originalmente um utensílio agrícola usado na colheita de arroz, é uma arma muito utilizada por ninjas. São dois cabos de madeira, unidos por uma curta corrente. Pode ser usado para ataque, defesa ou desarme."
MELEE-043,Nunchaku,Armas Exóticas,ARMAS EXÓTICAS | NUNCHAKU,4,0,0.7,2000,0.7,6,Contusão,Excelente,40,"Originalmente um utensílio agrícola usado na colheita de arroz, é uma arma muito utilizada por ninjas. São dois cabos de madeira, unidos por uma curta corrente. Pode ser usado para ataque, defesa ou desarme."
MELEE-044,Nunchaku,Armas Exóticas,ARMAS EXÓTICAS | NUNCHAKU,5,0,0.6,4000,0.7,6,Contusão,Obra-Prima,50,"Originalmente um utensílio agrícola usado na colheita de arroz, é uma arma muito utilizada por ninjas. São dois cabos de madeira, unidos por uma curta corrente. Pode ser usado para ataque, defesa ou desarme."
MELEE-045,Kusarigama,Armas Exóticas,ARMAS EXÓTICAS | KUSARIGAMA,1,1,2,300,3,6,"Corte, Perfuração",Comum,10,É uma arma articulada. A corrente de até 3 metros prende uma arma de corte em sua ponta.
MELEE-046,Kusarigama,Armas Exóticas,ARMAS EXÓTICAS | KUSARIGAMA,2,1,1.9,600,3,6,"Corte, Perfuração",Boa,20,É uma arma articulada. A corrente de até 3 metros prende uma arma de corte em sua ponta.
MELEE-047,Kusarigama,Armas Exóticas,ARMAS EXÓTICAS | KUSARIGAMA,2,2,1.8,1200,3,6,"Corte, Perfuração",Superior,30,É uma arma articulada. A corrente de até 3 metros prende uma arma de corte em sua ponta.
MELEE-048,Kusarigama,Armas Exóticas,ARMAS EXÓTICAS | KUSARIGAMA,3,2,1.7,2400,3,6,"Corte, Perfuração",Excelente,40,É uma arma articulada. A corrente de até 3 metros prende uma arma de corte em sua ponta.
MELEE-049,Kusarigama,Armas Exóticas,ARMAS EXÓTICAS | KUSARIGAMA,3,3,1.6,4800,3,6,"Corte, Perfuração",Obra-Prima,50,É uma arma articulada. A corrente de até 3 metros prende uma arma de corte em sua ponta.
MELEE-050,Corrente,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,1,0,1.2,150,2,6,Contusão,Comum,10,"A corrente é uma arma de argolas de metais interligadas. É uma arma extremamente veloz, mas que pode machucar o próprio usuário."
MELEE-051,Corrente,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,2,0,1.1,300,2,6,Contusão,Boa,20,"A corrente é uma arma de argolas de metais interligadas. É uma arma extremamente veloz, mas que pode machucar o próprio usuário."
MELEE-052,Corrente,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,2,0,1,600,2,6,Contusão,Superior,30,"A corrente é uma arma de argolas de metais interligadas. É uma arma extremamente veloz, mas que pode machucar o próprio usuário."
MELEE-053,Corrente,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,3,0,0.9,1200,2,6,Contusão,Excelente,40,"A corrente é uma arma de argolas de metais interligadas. É uma arma extremamente veloz, mas que pode machucar o próprio usuário."
MELEE-054,Corrente,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,4,0,0.8,2400,2,6,Contusão,Obra-Prima,50,"A corrente é uma arma de argolas de metais interligadas. É uma arma extremamente veloz, mas que pode machucar o próprio usuário."
MELEE-055,Meteoro,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,0,1,0.5,100,3,6,Perfuração,Comum,10,"Esta arma tem uma técnica semelhante a da corrente. Como a única parte massiça é a ponta, ela é mais leve, e mais rápida, mas faz menos dano."
MELEE-056,Meteoro,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,0,2,0.5,200,3,6,Perfuração,Boa,20,"Esta arma tem uma técnica semelhante a da corrente. Como a única parte massiça é a ponta, ela é mais leve, e mais rápida, mas faz menos dano."
MELEE-057,Meteoro,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,0,2,0.5,400,3,6,Perfuração,Superior,30,"Esta arma tem uma técnica semelhante a da corrente. Como a única parte massiça é a ponta, ela é mais leve, e mais rápida, mas faz menos dano."
MELEE-058,Meteoro,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,0,3,0.5,800,3,6,Perfuração,Excelente,40,"Esta arma tem uma técnica semelhante a da corrente. Como a única parte massiça é a ponta, ela é mais leve, e mais rápida, mas faz menos dano."
MELEE-059,Meteoro,Armas Exóticas,ARMAS EXÓTICAS | CORRENTE,0,4,0.5,1600,3,6,Perfuração,Obra-Prima,50,"Esta arma tem uma técnica semelhante a da corrente. Como a única parte massiça é a ponta, ela é mais leve, e mais rápida, mas faz menos dano."
MELEE-060,Alabarda,Armas de Haste,ARMAS DE HASTE,5,3,6,500,2,14,"Contusão, Corte, Perfuração",Comum,10,Possui um cabo que a classifica como arma de haste. Esta lâmina é mais cortante que a da lança de guerra.
MELEE-061,Alabarda,Armas de Haste,ARMAS DE HASTE,6,3,5.9,1000,2,14,"Contusão, Corte, Perfuração",Boa,20,Possui um cabo que a classifica como arma de haste. Esta lâmina é mais cortante que a da lança de guerra.
MELEE-062,Alabarda,Armas de Haste,ARMAS DE HASTE,6,4,5.8,2000,2,14,"Contusão, Corte, Perfuração",Superior,30,Possui um cabo que a classifica como arma de haste. Esta lâmina é mais cortante que a da lança de guerra.
MELEE-063,Alabarda,Armas de Haste,ARMAS DE HASTE,7,4,5.7,4000,2,14,"Contusão, Corte, Perfuração",Excelente,40,Possui um cabo que a classifica como arma de haste. Esta lâmina é mais cortante que a da lança de guerra.
MELEE-064,Alabarda,Armas de Haste,ARMAS DE HASTE,7,5,5.6,8000,2,14,"Contusão, Corte, Perfuração",Obra-Prima,50,Possui um cabo que a classifica como arma de haste. Esta lâmina é mais cortante que a da lança de guerra.
MELEE-065,Glefe,Armas de Haste,ARMAS DE HASTE,5,3,3,1000,2,12,"Corte, Perfuração",Comum,10,"A lâmina de corte lateral pode confundi-la com algum tipo bizarro de machado. Porém, o golpe principal frontal. Pode-se girar o glefe de modo a cortar mais com sua ponta."
MELEE-066,Glefe,Armas de Haste,ARMAS DE HASTE,6,3,2.9,2000,2,12,"Corte, Perfuração",Boa,20,"A lâmina de corte lateral pode confundi-la com algum tipo bizarro de machado. Porém, o golpe principal frontal. Pode-se girar o glefe de modo a cortar mais com sua ponta."
MELEE-067,Glefe,Armas de Haste,ARMAS DE HASTE,6,4,2.8,4000,2,12,"Corte, Perfuração",Superior,30,"A lâmina de corte lateral pode confundi-la com algum tipo bizarro de machado. Porém, o golpe principal frontal. Pode-se girar o glefe de modo a cortar mais com sua ponta."
MELEE-068,Glefe,Armas de Haste,ARMAS DE HASTE,7,4,2.7,8000,2,12,"Corte, Perfuração",Excelente,40,"A lâmina de corte lateral pode confundi-la com algum tipo bizarro de machado. Porém, o golpe principal frontal. Pode-se girar o glefe de modo a cortar mais com sua ponta."
MELEE-069,Glefe,Armas de Haste,ARMAS DE HASTE,7,5,2.6,16000,2,12,"Corte, Perfuração",Obra-Prima,50,"A lâmina de corte lateral pode confundi-la com algum tipo bizarro de machado. Porém, o golpe principal frontal. Pode-se girar o glefe de modo a cortar mais com sua ponta."
MELEE-070,Lança-Machado,Armas de Haste,ARMAS DE HASTE,5,3,4.5,300,2,13,"Corte, Perfuração",Comum,10,"Esta lança executa as funções de machado e lança com uma única cabeça. É uma arma das mais belas, equilibradas e firmes."
MELEE-071,Lança-Machado,Armas de Haste,ARMAS DE HASTE,6,3,4.4,600,2,13,"Corte, Perfuração",Boa,20,"Esta lança executa as funções de machado e lança com uma única cabeça. É uma arma das mais belas, equilibradas e firmes."
MELEE-072,Lança-Machado,Armas de Haste,ARMAS DE HASTE,6,4,4.3,1200,2,13,"Corte, Perfuração",Superior,30,"Esta lança executa as funções de machado e lança com uma única cabeça. É uma arma das mais belas, equilibradas e firmes."
MELEE-073,Lança-Machado,Armas de Haste,ARMAS DE HASTE,7,4,4.2,2400,2,13,"Corte, Perfuração",Excelente,40,"Esta lança executa as funções de machado e lança com uma única cabeça. É uma arma das mais belas, equilibradas e firmes."
MELEE-074,Lança-Machado,Armas de Haste,ARMAS DE HASTE,7,5,4.1,4800,2,13,"Corte, Perfuração",Obra-Prima,50,"Esta lança executa as funções de machado e lança com uma única cabeça. É uma arma das mais belas, equilibradas e firmes."
MELEE-075,Chicote,Chicotes,CHICOTE,2,0,0.8,5,3,10,Corte,Comum,10,"Tradicional instrumento de punição corporal de escravos, o chicote foi imortalizado como arma nas telas de cinema. Este é o modelo básico, feito em couro cutido."
MELEE-076,Chicote,Chicotes,CHICOTE,3,0,0.7,10,3,10,Corte,Boa,20,"Tradicional instrumento de punição corporal de escravos, o chicote foi imortalizado como arma nas telas de cinema. Este é o modelo básico, feito em couro cutido."
MELEE-077,Chicote,Chicotes,CHICOTE,3,0,0.6,20,3,10,Corte,Superior,30,"Tradicional instrumento de punição corporal de escravos, o chicote foi imortalizado como arma nas telas de cinema. Este é o modelo básico, feito em couro cutido."
MELEE-078,Chicote,Chicotes,CHICOTE,4,0,0.5,40,3,10,Corte,Excelente,40,"Tradicional instrumento de punição corporal de escravos, o chicote foi imortalizado como arma nas telas de cinema. Este é o modelo básico, feito em couro cutido."
MELEE-079,Chicote,Chicotes,CHICOTE,5,0,0.5,80,3,10,Corte,Obra-Prima,50,"Tradicional instrumento de punição corporal de escravos, o chicote foi imortalizado como arma nas telas de cinema. Este é o modelo básico, feito em couro cutido."
MELEE-080,Gato de Nove Caudas,Chicotes,CHICOTE,2,0,1.2,8,1.4,9,Corte,Comum,10,"Como o nome já diz, tem nove tiras de couro individuais. Todas são presas conjuntamente aocabo.Exige algum cuidado nouso para que seu dono não se machuque."
MELEE-081,Gato de Nove Caudas,Chicotes,CHICOTE,3,0,1.1,16,1.4,9,Corte,Boa,20,"Como o nome já diz, tem nove tiras de couro individuais. Todas são presas conjuntamente aocabo.Exige algum cuidado nouso para que seu dono não se machuque."
MELEE-082,Gato de Nove Caudas,Chicotes,CHICOTE,3,0,1,32,1.4,9,Corte,Superior,30,"Como o nome já diz, tem nove tiras de couro individuais. Todas são presas conjuntamente aocabo.Exige algum cuidado nouso para que seu dono não se machuque."
MELEE-083,Gato de Nove Caudas,Chicotes,CHICOTE,4,0,0.9,64,1.4,9,Corte,Excelente,40,"Como o nome já diz, tem nove tiras de couro individuais. Todas são presas conjuntamente aocabo.Exige algum cuidado nouso para que seu dono não se machuque."
MELEE-084,Gato de Nove Caudas,Chicotes,CHICOTE,5,0,0.8,128,1.4,9,Corte,Obra-Prima,50,"Como o nome já diz, tem nove tiras de couro individuais. Todas são presas conjuntamente aocabo.Exige algum cuidado nouso para que seu dono não se machuque."
MELEE-085,Rapier,Espadas,ESGRIMA,0,3,1.2,350,1,6,Perfuração,Comum,10,"Mais leve que o Sabre, o Rapier é uma arma quase sem lâmina, ferindo apenas com a ponta. Estocadas rápidas são seguidas de leves movimentos laterais que visam confundir o inimigo."
MELEE-086,Rapier,Espadas,ESGRIMA,0,4,1.1,700,1,6,Perfuração,Boa,20,"Mais leve que o Sabre, o Rapier é uma arma quase sem lâmina, ferindo apenas com a ponta. Estocadas rápidas são seguidas de leves movimentos laterais que visam confundir o inimigo."
MELEE-087,Rapier,Espadas,ESGRIMA,0,4,1,1400,1,6,Perfuração,Superior,30,"Mais leve que o Sabre, o Rapier é uma arma quase sem lâmina, ferindo apenas com a ponta. Estocadas rápidas são seguidas de leves movimentos laterais que visam confundir o inimigo."
MELEE-088,Rapier,Espadas,ESGRIMA,0,5,0.9,2800,1,6,Perfuração,Excelente,40,"Mais leve que o Sabre, o Rapier é uma arma quase sem lâmina, ferindo apenas com a ponta. Estocadas rápidas são seguidas de leves movimentos laterais que visam confundir o inimigo."
MELEE-089,Rapier,Espadas,ESGRIMA,0,6,0.8,5600,1,6,Perfuração,Obra-Prima,50,"Mais leve que o Sabre, o Rapier é uma arma quase sem lâmina, ferindo apenas com a ponta. Estocadas rápidas são seguidas de leves movimentos laterais que visam confundir o inimigo."
MELEE-090,Florete,Espadas,ESGRIMA,0,3,1,550,1,6,Perfuração,Comum,10,"Ainda mais leve que o Rapier, o Florete é uma arma extremamente elegante. Muito utilizada em duelos, sempre se mostrou útil no momento de golpear o inimigo."
MELEE-091,Florete,Espadas,ESGRIMA,0,4,0.9,1100,1,6,Perfuração,Boa,20,"Ainda mais leve que o Rapier, o Florete é uma arma extremamente elegante. Muito utilizada em duelos, sempre se mostrou útil no momento de golpear o inimigo."
MELEE-092,Florete,Espadas,ESGRIMA,0,4,0.8,2200,1,6,Perfuração,Superior,30,"Ainda mais leve que o Rapier, o Florete é uma arma extremamente elegante. Muito utilizada em duelos, sempre se mostrou útil no momento de golpear o inimigo."
MELEE-093,Florete,Espadas,ESGRIMA,0,5,0.7,4400,1,6,Perfuração,Excelente,40,"Ainda mais leve que o Rapier, o Florete é uma arma extremamente elegante. Muito utilizada em duelos, sempre se mostrou útil no momento de golpear o inimigo."
MELEE-094,Florete,Espadas,ESGRIMA,0,6,0.6,8800,1,6,Perfuração,Obra-Prima,50,"Ainda mais leve que o Rapier, o Florete é uma arma extremamente elegante. Muito utilizada em duelos, sempre se mostrou útil no momento de golpear o inimigo."
MELEE-095,Sabre,Espadas,ESGRIMA,1,2,1.6,180,1.15,7,"Corte, Perfuração",Comum,10,"Arma extremamente leve e ágil. Seu principal golpe é a estocada, mas a lâmina não está descartada. Não é uma arma muito utilizada, mas seus fas não a trocam por nada."
MELEE-096,Sabre,Espadas,ESGRIMA,2,2,1.5,360,1.15,7,"Corte, Perfuração",Boa,20,"Arma extremamente leve e ágil. Seu principal golpe é a estocada, mas a lâmina não está descartada. Não é uma arma muito utilizada, mas seus fas não a trocam por nada."
MELEE-097,Sabre,Espadas,ESGRIMA,2,3,1.4,720,1.15,7,"Corte, Perfuração",Superior,30,"Arma extremamente leve e ágil. Seu principal golpe é a estocada, mas a lâmina não está descartada. Não é uma arma muito utilizada, mas seus fas não a trocam por nada."
MELEE-098,Sabre,Espadas,ESGRIMA,3,3,1.3,1440,1.15,7,"Corte, Perfuração",Excelente,40,"Arma extremamente leve e ágil. Seu principal golpe é a estocada, mas a lâmina não está descartada. Não é uma arma muito utilizada, mas seus fas não a trocam por nada."
MELEE-099,Sabre,Espadas,ESGRIMA,3,4,1.2,2880,1.15,7,"Corte, Perfuração",Obra-Prima,50,"Arma extremamente leve e ágil. Seu principal golpe é a estocada, mas a lâmina não está descartada. Não é uma arma muito utilizada, mas seus fas não a trocam por nada."
MELEE-100,Espada de Treinamento,Espadas,ESPADAS CURTAS,-1,-1,0.7,50,0.8,7,"Corte, Perfuração",Comum,10,"Versão em madeira para treinamento de tropas. Não é tão eficiente quanto os modelos em metal, mas permite a alguém surpreendido só com ela pelo menos se defender."
MELEE-101,Espada de Treinamento,Espadas,ESPADAS CURTAS,0,-1,0.6,100,0.8,7,"Corte, Perfuração",Boa,20,"Versão em madeira para treinamento de tropas. Não é tão eficiente quanto os modelos em metal, mas permite a alguém surpreendido só com ela pelo menos se defender."
MELEE-102,Espada de Treinamento,Espadas,ESPADAS CURTAS,0,0,0.5,200,0.8,7,"Corte, Perfuração",Superior,30,"Versão em madeira para treinamento de tropas. Não é tão eficiente quanto os modelos em metal, mas permite a alguém surpreendido só com ela pelo menos se defender."
MELEE-103,Espada de Treinamento,Espadas,ESPADAS CURTAS,1,0,0.5,400,0.8,7,"Corte, Perfuração",Excelente,40,"Versão em madeira para treinamento de tropas. Não é tão eficiente quanto os modelos em metal, mas permite a alguém surpreendido só com ela pelo menos se defender."
